ProductID,VendorID
422,1492
423,1492
424,1492
425,1492
426,1492
427,1492
428,1492
429,1492
430,1492
431,1492
432,1492
433,1492
434,1492
435,1492
436,1492
437,1492
530,1494
359,1496
360,1496
361,1496
362,1496
363,1496
364,1496
365,1496
366,1496
367,1496
368,1496
369,1496
370,1496
371,1496
372,1496
373,1496
374,1496
921,1498
930,1498
358,1500
506,1504
935,1506
936,1506
355,1508
535,1508
940,1508
462,1510
320,1514
321,1514
322,1514
356,1516
357,1516
842,1518
843,1518
844,1518
845,1518
846,1518
847,1518
848,1518
707,1520
708,1520
711,1520
526,1522
510,1526
511,1526
507,1530
508,1530
422,1534
423,1534
424,1534
425,1534
426,1534
427,1534
428,1534
429,1534
430,1534
431,1534
432,1534
433,1534
434,1534
435,1534
436,1534
437,1534
375,1536
376,1536
377,1536
378,1536
379,1536
380,1536
381,1536
382,1536
383,1536
384,1536
385,1536
386,1536
387,1536
388,1536
389,1536
390,1536
391,1536
392,1536
393,1536
394,1536
395,1536
396,1536
397,1536
928,1538
929,1538
438,1540
439,1540
440,1540
441,1540
442,1540
443,1540
444,1540
445,1540
446,1540
447,1540
448,1540
449,1540
450,1540
451,1540
452,1540
453,1540
454,1540
455,1540
456,1540
457,1540
458,1540
459,1540
460,1540
461,1540
911,1542
912,1542
351,1544
352,1544
679,1544
870,1546
871,1546
872,1546
873,1546
876,1546
877,1546
878,1546
879,1546
880,1546
491,1548
359,1554
360,1554
361,1554
362,1554
363,1554
364,1554
365,1554
366,1554
367,1554
368,1554
369,1554
370,1554
371,1554
372,1554
373,1554
374,1554
319,1556
523,1560
524,1560
375,1562
376,1562
377,1562
378,1562
379,1562
380,1562
381,1562
382,1562
383,1562
384,1562
385,1562
386,1562
387,1562
388,1562
389,1562
390,1562
391,1562
392,1562
393,1562
394,1562
395,1562
396,1562
397,1562
497,1566
476,1568
477,1568
478,1568
479,1568
480,1568
481,1568
482,1568
483,1568
484,1568
485,1568
486,1568
487,1568
488,1568
489,1568
908,1570
909,1570
913,1570
356,1572
357,1572
709,1574
710,1574
874,1574
875,1574
907,1576
948,1576
317,1578
318,1578
319,1578
1,1580
463,1582
464,1582
465,1582
466,1582
467,1582
468,1582
469,1582
470,1582
471,1582
472,1582
473,1582
474,1582
475,1582
492,1584
493,1584
494,1584
495,1584
496,1584
938,1586
939,1586
931,1588
932,1588
325,1590
326,1590
490,1592
491,1592
849,1594
850,1594
851,1594
852,1594
853,1594
854,1594
855,1594
856,1594
857,1594
341,1598
342,1598
343,1598
344,1598
345,1598
346,1598
347,1598
348,1598
349,1598
525,1600
320,1602
321,1602
322,1602
320,1604
321,1604
322,1604
332,1608
910,1610
505,1612
341,1614
342,1614
343,1614
344,1614
345,1614
346,1614
347,1614
348,1614
349,1614
403,1616
404,1616
405,1616
406,1616
407,1616
408,1616
409,1616
410,1616
411,1616
412,1616
413,1616
414,1616
415,1616
416,1616
417,1616
418,1616
419,1616
420,1616
421,1616
528,1618
523,1620
341,1622
342,1622
343,1622
344,1622
345,1622
346,1622
347,1622
348,1622
349,1622
507,1624
508,1624
524,1626
941,1628
928,1632
929,1632
930,1632
712,1636
713,1636
714,1636
715,1636
716,1636
841,1636
881,1636
882,1636
883,1636
884,1636
937,1638
527,1644
510,1646
511,1646
512,1646
402,1648
4,1650
922,1652
923,1652
933,1652
934,1652
512,1654
375,1656
376,1656
377,1656
378,1656
379,1656
380,1656
381,1656
438,1656
439,1656
440,1656
441,1656
442,1656
443,1656
444,1656
445,1656
446,1656
447,1656
448,1656
449,1656
450,1656
451,1656
452,1656
453,1656
454,1656
455,1656
456,1656
457,1656
458,1656
459,1656
460,1656
935,1658
936,1658
490,1662
513,1664
422,1666
423,1666
424,1666
425,1666
426,1666
427,1666
428,1666
429,1666
430,1666
431,1666
432,1666
433,1666
434,1666
435,1666
436,1666
437,1666
403,1672
404,1672
405,1672
406,1672
407,1672
408,1672
409,1672
914,1672
915,1672
916,1672
952,1674
858,1676
859,1676
860,1676
861,1676
862,1676
863,1676
864,1676
865,1676
866,1676
867,1676
868,1676
869,1676
317,1678
318,1678
319,1678
509,1680
938,1680
939,1680
513,1682
931,1684
932,1684
933,1684
934,1684
403,1686
404,1686
405,1686
406,1686
407,1686
408,1686
409,1686
410,1686
411,1686
412,1686
413,1686
414,1686
415,1686
416,1686
417,1686
418,1686
419,1686
420,1686
421,1686
2,1688
504,1690
492,1692
493,1692
494,1692
495,1692
496,1692
351,1694
352,1694
679,1694
908,1696
909,1696
910,1696
911,1696
912,1696
913,1696
914,1696
915,1696
916,1696
323,1698
